episode,avg_latency,avg_response_time,total_reward,task_reject_rate,task_accept_rate,microservice_reject_rate,microservice_accept_rate
1,77.88522031718902,168.31203929807975,85706.904,0.7,0.3,0.4692556634304207,0.5307443365695793
2,80.5965803088503,176.81877751251938,142964.171,0.64,0.36,0.3851132686084142,0.6148867313915858
3,75.77695869600083,167.28808504141801,92359.342,0.66,0.34,0.4401294498381877,0.5598705501618123
4,77.21169670249027,168.21629647826714,122636.466,0.64,0.36,0.4174757281553398,0.5825242718446602
5,78.97832369915938,173.69848424685557,118918.106,0.66,0.34,0.3818770226537217,0.6181229773462783
6,77.1233778102843,167.56296435292802,125185.026,0.63,0.37,0.39805825242718446,0.6019417475728155
7,78.86573303807056,173.57416979704004,120956.594,0.69,0.31,0.39158576051779936,0.6084142394822006
8,76.28233652442441,167.51480985185862,87913.431,0.68,0.32,0.42394822006472493,0.5760517799352751
9,75.61086711399346,170.04793125171656,95614.765,0.72,0.28,0.44983818770226536,0.5501618122977346
10,77.18013760216697,173.02014178442064,134336.701,0.59,0.41,0.34951456310679613,0.6504854368932039
11,76.01700004232022,168.5275096017302,94083.12,0.71,0.29,0.42071197411003236,0.5792880258899676
12,76.66409101017261,167.82970214157396,138146.993,0.65,0.35,0.39805825242718446,0.6019417475728155
13,76.92971522884935,165.99868494280565,87359.737,0.71,0.29,0.4401294498381877,0.5598705501618123
14,75.30220444791767,165.40330304848013,111966.563,0.71,0.29,0.44336569579288027,0.5566343042071198
15,75.87598337666518,169.00839261928255,103526.194,0.74,0.26,0.4045307443365696,0.5954692556634305
16,79.55146877790702,173.6055058958829,120261.161,0.64,0.36,0.3818770226537217,0.6181229773462783
17,78.35690720879484,170.5960675713744,131759.481,0.63,0.37,0.36245954692556637,0.6375404530744336
18,78.35546976211951,174.2403523726144,109902.35,0.61,0.39,0.3592233009708738,0.6407766990291263
19,76.10244237005426,166.04114561290083,110425.877,0.71,0.29,0.4336569579288026,0.5663430420711975
20,77.02753474049315,169.7794404733316,140654.016,0.61,0.39,0.3365695792880259,0.6634304207119741
21,78.04998779810553,171.57071057331748,136584.853,0.67,0.33,0.3883495145631068,0.6116504854368932
22,78.90980653130798,172.9215616934336,107007.525,0.7,0.3,0.40129449838187703,0.598705501618123
23,78.65946325308556,173.2806922824856,124928.3,0.71,0.29,0.3948220064724919,0.6051779935275081
24,77.60910251672891,172.70470506068344,151614.555,0.56,0.44,0.31715210355987056,0.6828478964401294
25,78.77056716437359,172.06596916411112,111380.166,0.69,0.31,0.42071197411003236,0.5792880258899676
26,77.24068991512574,167.34938695278532,96863.761,0.72,0.28,0.459546925566343,0.540453074433657
27,75.39269294319377,168.73434168832372,94313.574,0.63,0.37,0.39805825242718446,0.6019417475728155
28,82.16595013009848,178.9433302342282,132516.771,0.67,0.33,0.3656957928802589,0.6343042071197411
29,76.87444498751265,169.50172227929303,131758.21,0.63,0.37,0.34951456310679613,0.6504854368932039
30,79.30750222111794,172.53367456660519,117165.261,0.65,0.35,0.3948220064724919,0.6051779935275081
31,78.52804728450586,171.201246317854,125110.576,0.64,0.36,0.40129449838187703,0.598705501618123
32,75.78488778295359,167.01246783359602,137354.802,0.65,0.35,0.39805825242718446,0.6019417475728155
33,79.91983257087209,175.9125517646219,124036.967,0.61,0.39,0.343042071197411,0.656957928802589
34,78.28575625814936,171.5861116816248,149241.721,0.61,0.39,0.3333333333333333,0.6666666666666666
35,78.43466188975773,173.4481552719813,140409.808,0.57,0.43,0.34627831715210355,0.6537216828478964
36,80.00740041814355,176.2949243894281,129152.047,0.55,0.45,0.3300970873786408,0.6699029126213593
37,79.10941063108574,174.39454374453953,114694.645,0.67,0.33,0.4077669902912621,0.5922330097087378
38,77.5980343773926,169.3219761491638,115225.911,0.69,0.31,0.3851132686084142,0.6148867313915858
39,78.63783833850636,173.33564974421353,108862.259,0.68,0.32,0.3948220064724919,0.6051779935275081
40,77.16688239077746,171.90452120477732,143231.915,0.63,0.37,0.34627831715210355,0.6537216828478964
41,78.69135583277745,170.43193193157015,120419.085,0.65,0.35,0.4077669902912621,0.5922330097087378
42,75.96158167862238,168.78878656541352,120018.22,0.66,0.34,0.42394822006472493,0.5760517799352751
43,76.25516768514356,168.48018521459406,118422.9,0.68,0.32,0.4077669902912621,0.5922330097087378
