task_id,microservice_id,instructions,bytes,dependencies,storage_req,status,arrival_time,start_time,latency,wait_time,service_time,response_time,spin_up_delay,end_time,deadline,assigned_resource,nearest_resource,resource_IPT,resource_storage
0,1,1169.685248,468.2234355,,19.89540927,completed,0,75.30132842840001,75.30132842840001,0,0.40333974068965517,151.00599659748968,0.0,75.70466816908967,101,Edge_cloud(1),Edge_cloud(3),2900,64
1,2,367.9965554,444.1531037,,26.98630505,completed,30,172.218993184,142.218993184,0,0.007359931108,284.445346299108,0.0,172.226353115108,176,CentralCloud(4),Edge_cloud(2),50000,1000000
1,3,186.5832195,226.324736,,30.34286672,completed,30,102.51391551999998,72.51391551999998,0,0.00373166439,145.03156270438996,0.0,102.51764718438999,176,CentralCloud(4),Edge_cloud(2),50000,1000000
1,4,603.564389,402.8288786,"2,3",46.85424783,completed,30,172.226353115108,128.995241152,13.231111963107992,0.01207128778,271.23366555488803,172.226353115108,172.238424402888,176,CentralCloud(4),Edge_cloud(2),50000,1000000
1,5,943.7676492,53.94389445,4,39.08933881,completed,30,172.238424402888,17.352046224000002,124.886378178888,0.018875352984,159.609345979872,172.238424402888,172.257299755872,176,CentralCloud(4),Edge_cloud(2),50000,1000000
2,6,2211.820271,285.0438521,,8.447635511,completed,150,195.84605141768,45.846051417679995,7.105427357601002e-15,0.7626966451724138,92.45479948053242,0.0,196.6087480628524,329,Edge_cloud(2),Edge_cloud(0),2900,32
2,7,2601.54928,818.5153537,6,9.534928126,completed,150,281.62826887496,131.62826887495999,0,0.7031214270270271,263.959659176947,196.61127846285243,282.331390301987,329,Edge_cloud(3),Edge_cloud(0),3700,64
2,8,788.900399,291.7166787,"7,6",5.924243203,completed,150,282.33378390198703,46.91904193495999,85.41474196702704,0.27203462034482756,179.52486045729182,282.33378390198703,282.60581852233184,329,Edge_cloud(2),Edge_cloud(0),2900,32
2,9,2181.438373,820.0246021,"7,8",37.17090463,completed,150,282.60777452233185,131.87095601768,0.7368185046518647,0.7522201286206897,265.23095066863254,282.60777452233185,283.35999465095256,329,Edge_cloud(1),Edge_cloud(0),2900,64
3,10,1774.569327,536.28347,,35.59999165,completed,270,356.245381976,86.245381976,0,16.132448427272728,188.62321237927267,0.0,372.3778304032727,403,Edge_cloud(0),Edge_cloud(3),110,64
3,11,998.7758531,881.0640506,,49.33178218,rejected,270,,0,0,0,0,0,,403,,Edge_cloud(3),,
4,12,133.5196659,579.0317587,,26.57914747,completed,330,423.11930679896,93.11930679896,0,0.03608639618918919,186.27469999410914,0.0,423.1553931951492,491,Edge_cloud(3),Edge_cloud(1),3700,64
4,13,2388.387546,39.37154083,,41.49433151,completed,330,342.6888930656,12.6888930656,0,0.04776775092,25.42555388211997,0.0,342.73666081652,491,CentralCloud(4),Edge_cloud(1),50000,1000000
4,14,3459.693571,678.6660055,,29.24555307,completed,330,439.1404936844,109.1404936844,0,1.1929977831034482,219.47398515190343,0.0,440.33349146750345,491,Edge_cloud(2),Edge_cloud(1),2900,32
4,15,1208.758937,54.40503234,12,43.83024891,completed,330,423.4334731951492,17.4996103488,75.93386284634919,0.02417517874,110.95725872268918,423.4334731951492,423.4576483738892,491,CentralCloud(4),Edge_cloud(1),50000,1000000
4,16,745.8534665,456.0910488,"12,13,15",36.33003093,completed,330,476.039135616,146.039135616,0,0.01491706933,292.09318830133,423.4576483738892,476.05405268533,491,CentralCloud(4),Edge_cloud(1),50000,1000000
5,17,4446.509448,930.1324275,,32.50131673,completed,480,629.576294342,149.57629434199998,0,1.2017593102702702,300.35434799427026,0.0,630.7780536522703,645,Edge_cloud(3),Edge_cloud(1),3700,64
5,18,1447.621385,173.5518999,17,28.69101088,completed,480,631.1351736522703,55.626607968,95.50856568427028,0.0289524277,206.79073404797032,631.1351736522703,631.1641260799703,645,CentralCloud(4),Edge_cloud(1),50000,1000000
5,19,1195.701837,395.9736294,"17,18",36.4255557,completed,480,631.1641260799703,126.801561408,24.36256467197029,0.023914036740000002,277.98960152471034,631.1641260799703,631.1880401167103,645,CentralCloud(4),Edge_cloud(1),50000,1000000
5,20,4299.775004,732.5617058,17,21.56303829,completed,480,630.7799304522703,117.80692229264001,32.973008159630254,1.482681035862069,270.0695337807723,630.7799304522703,632.2626114881323,645,Edge_cloud(1),Edge_cloud(1),2900,64
6,21,4103.824786,883.4359705,,5.732252455,completed,600,742.0675040564,142.0675040564,2.842170943040401e-14,1.4151119951724138,285.5501201079725,0.0,743.4826160515724,756,Edge_cloud(2),Edge_cloud(3),2900,32
6,22,2296.897706,674.2335747,,2.959320311,completed,600,708.42775881176,108.42775881176,0,20.88088823636364,237.73640585988358,0.0,729.3086470481236,756,Edge_cloud(0),Edge_cloud(3),110,64
6,23,2497.270421,265.5915216,21,24.47216285,completed,600,743.4849824515725,42.71811667328,100.76686577829247,0.8611277313793104,187.0642268562317,743.4849824515725,744.3461101829517,756,Edge_cloud(1),Edge_cloud(3),2900,64
6,24,1166.968654,677.8617744,23,30.36528753,completed,600,744.3480173829518,109.01117332351998,35.33684405943177,0.3153969335135135,253.67458763998525,744.3480173829518,744.6634143164653,756,Edge_cloud(3),Edge_cloud(3),3700,64
6,25,483.6781853,303.7603647,21,4.863602498,completed,600,743.7267760515724,97.293316704,46.43345934757241,0.009673563706,241.02976631927845,743.7267760515724,743.7364496152784,756,CentralCloud(4),Edge_cloud(3),50000,1000000
7,26,2909.815944,721.2449375,,15.0582739,rejected,750,,0,0,0,0,0,,860,,Edge_cloud(1),,
8,27,581.8901158,954.4927963,,16.77957809,completed,780,933.49344164504,153.49344164503998,0,0.2006517640689655,307.18753505414907,0.0,933.694093409109,956,Edge_cloud(1),Edge_cloud(1),2900,64
8,28,2301.44528,724.1795166,,28.57698123,completed,780,896.45906626928,116.45906626928,1.4210854715202004e-14,20.92222981818182,253.8403623567417,0.0,917.3812960874618,956,Edge_cloud(0),Edge_cloud(1),110,64
8,29,4708.436273,864.2516979,27,14.64564035,completed,780,933.694093409109,138.98267302232,14.711420386788973,1.6235987148275863,294.3003651462566,933.694093409109,935.3176921239366,956,Edge_cloud(1),Edge_cloud(1),2900,64
9,30,4768.888507,12.08280474,,5.686781378,completed,870,873.9564975168,3.9564975168,2.7533531010703882e-14,0.09537777014,8.00837280374003,0.0,874.05187528694,1029,CentralCloud(4),Edge_cloud(2),50000,1000000
9,31,1272.728204,720.3964035,,9.077980306,completed,870,985.8507416828,115.8507416828,4.263256414560601e-14,0.43887179448275865,232.1403551600829,0.0,986.2896134772828,1029,Edge_cloud(2),Edge_cloud(2),2900,32
9,32,3158.155758,831.2916813,"31,30",9.523442279,completed,870,1003.68270235304,133.68270235304,0,1.0890192268965517,268.4544239329766,986.2896134772828,1004.7717215799365,1029,Edge_cloud(2),Edge_cloud(2),2900,32
