task_id,arrival_time,category,latency,start_time,wait_time,service_time,response_time,accepted,end_time,deadline,status,task_microservices,completed_microservices
0,0,3,75.30132842840001,75.30132842840001,75.30132842840001,0.40333974068965517,75.70466816908967,True,75.70466816908967,101,completed,[1],{1}
1,30,1,361.08019608,102.51391551999998,72.51391551999998,0.042038236262,142.257299755872,True,172.257299755872,176,completed,"[2, 3, 4, 5]","{2, 3, 4, 5}"
2,150,1,356.26431824528,195.84605141768,45.84605141768,2.490072821164958,133.35999465095256,True,283.35999465095256,329,completed,"[6, 7, 8, 9]","{8, 9, 6, 7}"
3,270,1,0,,0,0,,False,372.3778304032727,403,rejected,"[10, 11]",{10}
4,330,2,378.48743951376,342.6888930656,12.688893065599984,1.3159441782826373,146.05405268533002,True,476.05405268533,491,completed,"[12, 13, 14, 15, 16]","{12, 13, 14, 15, 16}"
5,480,2,449.81138601064,629.576294342,149.57629434199998,2.7373068105723393,152.26261148813228,True,632.2626114881323,645,completed,"[17, 18, 19, 20]","{17, 18, 19, 20}"
6,600,1,499.51786956896,708.42775881176,108.42775881175999,23.482198460134875,144.66341431646526,True,744.6634143164653,756,completed,"[21, 22, 23, 24, 25]","{21, 22, 23, 24, 25}"
7,750,3,0,,0,0,,False,,860,rejected,[26],set()
8,780,1,408.93518093664,896.45906626928,116.45906626928002,22.74648029707837,155.31769212393658,True,935.3176921239366,956,completed,"[27, 28, 29]","{27, 28, 29}"
9,870,1,253.48994155264003,873.9564975168,3.9564975168000274,1.6232687915193105,134.77172157993652,True,1004.7717215799365,1029,completed,"[30, 31, 32]","{32, 30, 31}"
10,960,1,0,,0,0,,False,976.1874675282801,1092,rejected,"[33, 34]",{33}
11,1020,3,150.01084789360002,1062.4826675888,42.48266758880004,13.040840685846394,107.56891885428286,True,1127.5689188542829,1141,completed,"[35, 36]","{35, 36}"
12,1080,1,236.13898305448,1209.02909389616,129.02909389616002,0.79906371566356,129.83074401182353,True,1209.8307440118235,1214,completed,"[37, 38]","{37, 38}"
13,1140,2,0,,0,0,,False,1273.8962450977815,1296,rejected,"[39, 40, 41, 42, 43]","{40, 41, 43, 39}"
14,1290,3,173.72178489832,1342.73254200488,52.73254200488009,1.747985237724138,122.54128343826756,True,1412.5412834382676,1421,completed,"[44, 45]","{44, 45}"
15,1350,1,238.49788559464002,1484.025543296,134.02554329600002,1.7836845028,136.13338779879973,True,1486.1333877987997,1490,completed,"[46, 47]","{46, 47}"
16,1410,2,506.81470203296,1514.52868274336,104.52868274335992,10.331634630963386,162.43106412728002,True,1572.43106412728,1600,completed,"[48, 49, 50, 51]","{48, 49, 50, 51}"
17,1530,1,254.40922489752003,1577.284436192,47.28443619199993,4.81064408286211,107.4939197020874,True,1637.4939197020874,1686,completed,"[52, 53, 54, 55, 56]","{52, 53, 54, 55, 56}"
18,1680,2,0,,0,0,,False,1844.0694170583274,1850,rejected,"[57, 58, 59, 60, 61]","{57, 58, 59, 60}"
19,1830,2,0,,0,0,,False,1976.0290752013289,1983,rejected,"[62, 63, 64, 65, 66]","{64, 65, 66, 62}"
20,1980,3,0,,0,0,,False,,2093,rejected,[67],set()
21,2010,3,0,,0,0,,False,,2118,rejected,[68],set()
22,2040,3,36.01264890512,2076.01264890512,36.01264890511993,1.355335188275862,37.36798409339599,True,2077.367984093396,2142,completed,[69],{69}
23,2070,3,75.89922646952,2145.89922646952,75.89922646951982,9.985471645454545,85.88469811497453,True,2155.8846981149745,2171,completed,[70],{70}
24,2100,3,0,,0,0,,False,,2209,rejected,[71],set()
25,2130,3,24.6374269568,2154.6374269568,24.637426956800027,0.011067798327999999,24.648494755128013,True,2154.648494755128,2222,completed,[72],{72}
26,2160,1,294.30873891344,2187.8783194496,27.878319449599985,2.4271075109386206,137.96763886822055,True,2297.9676388682205,2335,completed,"[73, 74, 75, 76]","{73, 74, 75, 76}"
27,2280,1,322.37537859384,2367.98613118784,87.98613118783987,1.9316883065452004,139.0687171472414,True,2419.0687171472414,2441,completed,"[77, 78, 79]","{77, 78, 79}"
